feature,coefficient,abs_coefficient
cat__grade_G,1.8903500950635603,1.8903500950635603
cat__grade_F,1.7028678941888764,1.7028678941888764
cat__grade_A,-1.6093367070797175,1.6093367070797175
cat__grade_E,1.1567062837991853,1.1567062837991853
cat__sub_grade_G5,1.0457535791498898,1.0457535791498898
cat__sub_grade_A1,-0.9334109155782196,0.9334109155782196
cat__sub_grade_F5,0.9290376926989687,0.9290376926989687
cat__grade_D,0.7582820445658071,0.7582820445658071
cat__grade_B,-0.7555705121401791,0.7555705121401791
cat__sub_grade_G2,0.7250362429935223,0.7250362429935223
cat__sub_grade_A2,-0.7243015278519579,0.7243015278519579
cat__sub_grade_B1,-0.5021331371433674,0.5021331371433674
num__int_rate_num,-0.4797544037454699,0.4797544037454699
cat__sub_grade_A3,-0.4554177735984676,0.4554177735984676
cat__sub_grade_F2,-0.4243897280059743,0.4243897280059743
cat__sub_grade_C5,0.35896692431578386,0.35896692431578386
cat__sub_grade_D5,0.33085163277750196,0.33085163277750196
num__annual_inc_log1p,-0.2935067763244109,0.2935067763244109
cat__sub_grade_B5,0.2848731477544054,0.2848731477544054
cat__sub_grade_C2,-0.28471971878189334,0.28471971878189334
cat__sub_grade_E5,0.250974488162107,0.250974488162107
cat__sub_grade_D2,-0.24248836993121572,0.24248836993121572
cat__sub_grade_C1,-0.23926520024374456,0.23926520024374456
num__fico_avg,-0.23204298971375248,0.23204298971375248
cat__sub_grade_E1,-0.22650979971677593,0.22650979971677593
num__term_months,0.19633566054761833,0.19633566054761833
cat__sub_grade_F1,0.18670738204422024,0.18670738204422024
cat__sub_grade_B2,-0.1801376444796488,0.1801376444796488
cat__sub_grade_C4,0.1792474845665032,0.1792474845665032
cat__sub_grade_D1,-0.16517436139230618,0.16517436139230618
cat__sub_grade_B3,-0.14822947360077088,0.14822947360077088
cat__sub_grade_D4,0.14286463791382384,0.14286463791382384
num__installment,0.13583131954317346,0.13583131954317346
num__installment_to_monthly_income,-0.13084806518891057,0.13084806518891057
num__dti,0.12391327394032962,0.12391327394032962
cat__sub_grade_F3,-0.10378567270677211,0.10378567270677211
num__revol_util_num,-0.09299387305603019,0.09299387305603019
cat__sub_grade_E3,0.07338350513046435,0.07338350513046435
cat__sub_grade_D3,0.05667800666755527,0.05667800666755527
cat__sub_grade_E2,-0.04662098601553386,0.04662098601553386
num__delinq_2yrs,-0.03495066301895655,0.03495066301895655
num__annual_inc,0.021719324712233316,0.021719324712233316
cat__sub_grade_A5,0.016938730528760063,0.016938730528760063
num__open_acc,0.01689705363437832,0.01689705363437832
cat__sub_grade_F4,0.0026926898328033253,0.0026926898328033253
cat__sub_grade_E4,0.0017512290488915895,0.0017512290488915895
cat__sub_grade_G4,0.0,0.0
cat__sub_grade_G3,0.0,0.0
cat__grade_C,0.0,0.0
cat__sub_grade_G1,0.0,0.0
cat__sub_grade_C3,0.0,0.0
cat__sub_grade_A4,0.0,0.0
cat__sub_grade_B4,0.0,0.0
