threshold,precision,recall,f1,positive_rate
0.05,0.23792486583184258,1.0,0.38439306358381503,1.0
0.1,0.24134790528233152,0.9962406015037594,0.3885630498533724,0.9821109123434705
0.15,0.2534246575342466,0.9736842105263158,0.40217391304347827,0.9141323792486583
0.2,0.2645228215767635,0.9586466165413534,0.4146341463414634,0.8622540250447227
0.25,0.2700106723585913,0.9511278195488722,0.42061512884455526,0.8381037567084079
0.3,0.2818181818181818,0.9323308270676691,0.4328097731239092,0.7871198568872988
0.35,0.2981132075471698,0.8909774436090225,0.4467483506126296,0.7110912343470484
0.4,0.32277526395173456,0.8045112781954887,0.4607104413347686,0.5930232558139535
0.45,0.3411978221415608,0.706766917293233,0.4602203182374541,0.4928443649373882
0.5,0.3503184713375796,0.6203007518796992,0.44776119402985076,0.4212880143112701
0.55,0.37566137566137564,0.5338345864661654,0.4409937888198758,0.33810375670840787
