id,refi_pathway,pd_score,pred_rate,scenario_current_rate,monthly_savings,risk_adjusted_savings,recommendation
99232997,other,0.3921301906981093,12.6772511185311,17.740000000000002,30.011422214353843,18.243037498317797,consider
103348554,pl_refinance,0.6338821208903838,13.594586084311837,18.490000000000002,143.66747015388955,52.59922946978614,hold
109916916,other,0.6065332477350852,18.584719865984614,25.0,17.732684095858957,6.977221620137331,hold
135399651,cc_to_pl,0.3744205592886324,9.459290673749818,36.0,127.37041781661799,79.6803147408931,consider
119335104,pl_refinance,0.775696721018951,23.649402997096995,31.3,86.29649273932273,19.35658628599437,hold
130310341,cc_to_pl,0.7074610916355873,20.91905988737966,36.0,376.8761641536969,110.25094165008967,hold
125797026,cc_to_pl,0.4798635644990764,15.736942844379536,36.0,197.8292903884369,102.89822194031869,hold
97405224,other,0.4516455899553662,13.34889620680579,18.490000000000002,18.59010831808004,10.193967879426621,hold
107686933,pl_refinance,0.5308197265057759,12.556511161948125,17.619999999999997,29.9354081133273,14.045102965772116,hold
132481109,pl_refinance,0.5196136358227249,12.027790619182785,16.98,79.2653288847481,38.07798314826008,hold
120060235,pl_refinance,0.5775733009555548,21.065646782597774,29.85,26.632426254882205,11.250247910394506,hold
115404530,cc_to_pl,0.15192221522887636,5.3869991035807505,36.0,203.71642023578505,172.76737039506787,consider
124950174,pl_refinance,0.676043505378879,17.545679076040177,23.06,164.35192514471828,53.2428735541158,hold
97962609,other,0.1426908246563435,5.395897263300931,10.32,49.19099602151289,42.1718922335363,consider
120940936,other,0.37077234036837203,9.422226057454239,14.44,17.93808086964671,11.287136643890678,consider
104100491,cc_to_pl,0.3090524499811683,8.350363079746183,36.0,667.8676332215261,461.4615049112892,consider
113161538,other,0.4100858235633007,10.372850713911246,15.42,12.144178794690305,7.164023232169758,consider
117250123,pl_refinance,0.7592006473743382,21.450710807843677,31.3,151.66014081725552,36.51966372791183,hold
107430916,pl_refinance,0.8107725606992416,24.579250162849526,33.69,252.21430460256033,47.72586701496397,hold
131866303,pl_refinance,0.4094466914381974,13.367605104636189,18.58,22.02648672116203,13.007814609174849,consider
125857803,cc_to_pl,0.22064941482462933,7.320475941423589,36.0,148.63082214018885,115.83551821005263,consider
114169528,other,0.42756357472587814,11.024860606115862,15.91,69.5096722956539,39.78986833089978,consider
104152243,other,0.5380233588060607,13.585635292478937,18.490000000000002,45.33556538328753,20.9439722223994,hold
133035701,cc_to_pl,0.7808223192944062,23.526250541221543,36.0,348.3344781504552,76.34714303081013,hold
119249331,pl_refinance,0.46898808177978435,13.393970277108993,18.59,47.065341010764314,24.99225701181454,hold
110355146,pl_refinance,0.3623432156547588,13.383603840163632,18.59,31.437863095145588,20.046566687936465,consider
141013155,pl_refinance,0.6937955973250379,14.553674404986772,19.47,45.462889737746195,13.920936996024237,hold
116265983,pl_refinance,0.5438765605849627,14.793159848127228,20.05,142.0511811345582,64.79287331206314,hold
114794372,pl_refinance,0.4232696653027503,11.036606686159576,15.91,24.964742857140664,14.397924503629508,consider
107089309,pl_refinance,0.4871824913889985,13.355413887223499,18.490000000000002,12.666409909588168,6.495556772880705,hold
143142642,other,0.13750107964788794,6.063173922843421,11.11,61.61418469620605,53.14216777885335,consider
123991237,pl_refinance,0.7881042519857884,20.5928121168026,26.45,88.67664812232601,18.790204685273306,hold
118664761,cc_to_pl,0.5457341845782497,12.064474944166845,36.0,75.07328597599897,34.103227470277425,hold
117867256,pl_refinance,0.5876353507110453,15.78006851681373,21.02,66.87307241371934,27.576091052758244,hold
102659959,pl_refinance,0.3740342798797524,13.359266469096557,18.490000000000002,27.829630067158064,17.42039442566869,consider
117858955,cc_to_pl,0.27015961391369897,5.411146441172602,36.0,127.23851053829432,92.8638036563146,consider
107402071,pl_refinance,0.2437972125210884,7.939470152838223,12.99,59.07625249460693,44.67362681022976,consider
145305419,pl_refinance,0.4696933542993618,14.89760065707915,20.02,79.84705131661053,42.34342195279846,hold
125713383,pl_refinance,0.40061849975733266,11.039740784102477,15.91,24.949014569354233,14.953977782155706,consider
111754322,pl_refinance,0.62116113224859,19.07633534593604,26.45,170.2640559001925,64.5026421559917,hold
126002196,other,0.4851948011824354,14.07984748180416,19.08,130.94013789991686,67.40866372476603,hold
103337406,cc_to_pl,0.4802570217996928,12.661827850787667,36.0,88.98934209014448,46.251585686017634,hold
128590377,cc_to_pl,0.6631812147111895,14.788532737572872,36.0,711.8516788794623,239.76501778598086,hold
120046297,pl_refinance,0.5034806854515441,14.249275003809707,19.08,11.988275849563934,5.952410507443292,hold
103507620,pl_refinance,0.11971067244407414,5.399128637384707,10.32,19.66376934438631,17.309806293384653,consider
112656933,cc_to_pl,0.5106713748057916,14.956834134133006,36.0,200.68800520015645,98.2023856775607,hold
111073561,pl_refinance,0.42955102171522697,12.050960579202767,16.990000000000002,34.562626296968745,19.716214857944248,consider
97555346,cc_to_pl,0.4135991896739314,11.508266142167573,36.0,76.05367507567837,44.59793669265333,consider
97650821,pl_refinance,0.6972286051282588,14.900795773270254,19.990000000000002,27.274900887775914,8.258059786780406,hold
126912066,other,0.796803771933077,26.133124297530664,35.79,129.5788155957655,26.329926566438917,hold
97363916,other,0.37491490860971177,11.550487560750271,16.490000000000002,11.99701326030663,7.49915413022927,consider
95954366,pl_refinance,0.6159163970376041,17.124532846295974,21.99,12.682783267383684,4.871249092927912,hold
113850604,pl_refinance,0.19725398842557,7.293890134218696,12.35,66.20541260246716,53.14613091127002,consider
96247015,cc_to_pl,0.443500711730377,14.215978894189314,36.0,92.13112346447701,51.27090463546222,consider
107189781,pl_refinance,0.5009990111995489,14.214193213097754,18.990000000000002,17.488186033141858,8.726622122864025,hold
112675456,pl_refinance,0.4600345179664718,14.262311757310517,19.08,58.912024648182864,31.810459786727158,hold
126390793,pl_refinance,0.6626339253277509,19.09575341824619,26.45,104.43049784801894,35.23130713505491,hold
111494880,pl_refinance,0.3440071882725055,12.034796177509882,16.990000000000002,26.005072130783958,17.059140386249275,consider
122224526,other,0.3623099007247062,13.380151508437384,18.59,15.100043159323747,9.629148021330382,consider
102056486,cc_to_pl,0.42906644073883904,13.351300970478038,36.0,72.92900473523235,41.63761624686027,consider
126539579,other,0.6047925973272077,13.690552843809089,18.59,90.17389219728227,35.637389724184295,hold
