model,stage,rows_used,cv_primary_raw,best_params,neg_rmse,neg_mae,neg_mape,r2,neg_rmse_human,neg_mae_human,neg_mape_human
random_forest_regressor,random_search,12216,-0.5621000608489014,"{'model__n_estimators': 300, 'model__min_samples_leaf': 20, 'model__max_features': 0.5, 'model__max_depth': 8}",-0.5621000608489014,-0.3225724293493764,-0.025825872135945855,0.9826073072377012,0.5621000608489014,0.3225724293493764,0.025825872135945855
ridge,random_search,12216,-0.6493463504646159,{'model__alpha': 0.01},-0.6493463504646159,-0.520722495142692,-0.043279768422843305,0.977287466004971,0.6493463504646159,0.520722495142692,0.043279768422843305
lasso,random_search,12216,-0.649697772946419,{'model__alpha': 0.0007},-0.649697772946419,-0.5168035487693131,-0.04297521484147757,0.9772741202302564,0.649697772946419,0.5168035487693131,0.04297521484147757
elasticnet,random_search,12216,-0.6598154490780318,"{'model__l1_ratio': 0.2, 'model__alpha': 0.003}",-0.6598154490780318,-0.5211760744608672,-0.043755088442144104,0.9765904432363572,0.6598154490780318,0.5211760744608672,0.043755088442144104
linear_svr,random_search,12216,-0.6950598539796936,"{'model__epsilon': 0.03, 'model__C': 0.1}",-0.6950598539796936,-0.46883730955634356,-0.038601426929568285,0.9740511377990099,0.6950598539796936,0.46883730955634356,0.038601426929568285
