model,stage,rows_used,cv_primary_raw,best_params,pr_auc,roc_auc,neg_log_loss,neg_brier,f1,precision,recall,neg_log_loss_human,neg_brier_human
logistic_l1,random_search,12216,0.3552122991344076,{'model__C': 0.1},0.3552122991344076,0.701335566131109,-0.624387154695913,-0.2178116279484663,0.4050810032573497,0.2978585626532234,0.6413380756850665,0.624387154695913,0.2178116279484663
logistic_l2,random_search,12216,0.352517054932223,{'model__C': 0.03},0.352517054932223,0.7010192027560814,-0.6271929702303797,-0.21912843006759142,0.40468515765416885,0.2962095817791708,0.645614564293707,0.6271929702303797,0.21912843006759142
logistic_elasticnet,random_search,12216,0.34311948839632794,"{'model__l1_ratio': 0.8, 'model__C': 1.0}",0.34311948839632794,0.6979395021091399,-0.635291778849704,-0.22317991733020925,0.40470788333715646,0.29103623159968356,0.669559244293792,0.635291778849704,0.22317991733020925
linear_svm_calibrated,random_search,12216,0.3423623879209019,{'model__estimator__C': 0.1},0.3423623879209019,0.6980115028502484,-0.44982426157778205,-0.14278387219745944,0.006789443235928702,0.5777777777777778,0.003436931265956874,0.44982426157778205,0.14278387219745944
random_forest,random_search,12216,0.3383720260411152,"{'model__n_estimators': 200, 'model__min_samples_leaf': 20, 'model__max_features': 0.5, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.3383720260411152,0.6889455193379064,-0.5364169763778271,-0.17936142498029642,0.3824975223209564,0.34681845261117467,0.4318667696787332,0.5364169763778271,0.17936142498029642
