issue_year,default_rate,loans
2007.0,0.25287356321839083,87
2008.0,0.2298507462686567,335
2009.0,0.13172804532577903,706
2010.0,0.1494388659184879,1693
2011.0,0.1525017135023989,2918
2012.0,0.16458679977814752,7212
2013.0,0.15393926056338028,18176
2014.0,0.18361990645714862,29719
2015.0,0.19912957627289396,49631
2016.0,0.23074965647106724,39298
2017.0,0.23464622433694599,22698
2018.0,0.16400850611376927,7524
