recommendation,borrowers,avg_pd,median_savings,avg_savings,avg_risk_adjusted_savings
hold,1752,0.608476739454399,70.27050126536966,106.30208434645576,37.988949050678144
consider,1591,0.3006539356015829,36.539785284611355,74.1362258076865,52.18059378304217
